Sl. No.,Months,2019,2020,2021,Growth 2020/2019 (in Percentage),Growth 2021/2020 (in Percentage),Percentage Share 2021
1,January,1111040,1119250,94662,0.7,-91.5,6.2
2,February,1090516,1018440,110312,-6.6,-89.2,7.22
3,March,978236,328304,133768,-66.4,-59.3,8.76
4,April,774651,2820,78718,-99.6,2691.4,5.15
5,May,615136,3764,19765,-99.4,425.1,1.29
6,June,726446,8590,36070,-98.8,319.9,2.36
7,July,818125,12655,72501,-98.5,472.9,4.75
8,August,800837,19761,92728,-97.5,369.2,6.07
9,September,751513,28167,115661,-96.3,310.6,7.57
10,October,945017,41494,191415,-95.6,361.3,12.53
11,November,1092440,70977,263867,-93.5,271.8,17.28
12,December,1226398,90544,317647,-92.6,250.8,20.8
Total,Total,10930355,2744766,1527114,-74.9,-44.4,100
