Sl. No.,Country of Nationality,Region,Arrivals (in Numbers),Business and Professional (in Percentage),Indian Diaspora (in Percentage),Leisure Holiday and Recreation (in Percentage),Medical (in Percentage),Students (in Percentage),Others (in Percentage)
1,Canada,North America,80437,1.1,72.6,2.5,0.3,0.1,23.4
2,United States of America,North America,429860,3.3,60.1,7.5,0.5,0.1,28.6
3,Others,North America,2,100,0,0,0,0,0
Total,Total,North America,510299,3,62,6.7,0.4,0.1,27.8
4,Argentina,Central and South America,530,63.1,21.2,8.3,1.4,1.6,4.5
5,Brazil,Central and South America,2055,68.9,11.3,7.9,0.4,2.3,9.1
6,Mexico,Central and South America,859,47.2,26.6,15.3,0.4,2.9,7.6
7,Others,Central and South America,3354,30,31,12.3,3.4,2.5,20.9
Total,Total,Central and South America,6798,46.5,23.7,11.1,1.9,2.4,14.3
8,Austria,Western Europe,4411,25.5,48.1,3.8,0.7,0.4,21.4
9,Belgium,Western Europe,7382,14,49.2,3.8,0.5,0.1,32.4
10,Denmark,Western Europe,2025,45.6,32.1,7,1.4,1.4,12.5
11,Finland,Western Europe,1329,23.3,38,8.1,1.7,0.6,28.2
12,France,Western Europe,30374,32.2,39.8,7.9,0.6,1.2,18.4
13,Germany,Western Europe,33772,24.5,49.7,7.5,0.9,0.5,16.9
14,Greece,Western Europe,1144,61.2,15,6.8,0.4,0.4,16.2
15,Ireland,Western Europe,7600,5.5,70.7,3.5,0.5,0.1,19.6
16,Italy,Western Europe,13659,21.6,61.8,3.3,0.5,0.4,12.5
17,Netherlands,Western Europe,15631,17.6,49.7,7.9,1.2,0.2,23.4
18,Norway,Western Europe,2790,11.6,57,7.3,1.4,1.5,21.2
19,Portugal,Western Europe,32064,18.6,38.4,2.2,0.1,0,40.7
20,Spain,Western Europe,6982,40.3,36.6,5.7,0.4,1.1,15.9
21,Sweden,Western Europe,5579,13.9,49.9,6,1.1,0.3,28.9
22,Switzerland,Western Europe,4198,20.5,47.7,9.2,4.2,1.3,17
23,United Kingdom,Western Europe,164143,3.6,59.2,3.3,0.4,0.1,33.4
24,Others,Western Europe,1767,48.3,24.8,10.1,2.5,1.4,12.9
Total,Total,Western Europe,334850,13.1,52.9,4.4,0.6,0.3,28.7
25,Czech Rep,Eastern Europe,983,74.7,11.1,6.2,0.4,1.6,6
26,Hungary,Eastern Europe,653,49.6,21.9,13.9,1.5,1,12.2
27,Kazakhstan,Eastern Europe,2378,9.6,5,72.4,9.5,1.5,2
28,Poland,Eastern Europe,2461,61.2,16,10.4,0.7,0.6,11.2
29,Russian Federation,Eastern Europe,17567,58,10.1,20.5,2.5,1.2,7.6
30,Ukraine,Eastern Europe,5197,44.6,11.8,13,4.4,0.9,25.3
31,Others,Eastern Europe,13875,34.2,7.8,5.4,45.5,2.2,4.9
Total,Total,Eastern Europe,43114,45.8,9.7,16.7,17.9,1.5,8.4
32,Egypt,Africa,1739,69.6,11.9,4,3.3,5.8,5.3
33,Kenya,Africa,13373,8.2,23.9,3.9,25.6,2.5,36
34,Mauritius,Africa,2118,2.4,25.3,7.2,52.5,5,7.6
35,Nigeria,Africa,5516,5.7,8.3,0.1,52.8,31.1,2
36,South Africa,Africa,3820,40.3,24.8,5,4.2,1.6,24.2
37,Sudan,Africa,6781,18.9,4.6,0,57.6,17.6,1.2
38,Tanzania,Africa,6480,8.2,15.1,2.8,33.9,23.7,16.3
39,Others,Africa,29087,12.8,8.3,1.1,46.7,20.6,10.4
Total,Total,Africa,68914,13.7,13.2,2.1,40,16.1,14.9
40,Bahrain,West Asia,1727,3,42.1,11.5,21.4,0.4,21.7
41,Iraq,West Asia,16213,1.7,1,0,94.7,2.1,0.4
42,Israel,West Asia,4601,70.5,6.1,12.6,1.4,0.3,9.1
43,Oman,West Asia,10174,1.5,6.3,14.5,74.8,0.3,2.6
44,Saudi Arabia,West Asia,1088,32.7,17.6,3.3,13.6,2.2,30.6
45,Turkey,West Asia,3710,75.6,3.5,3.4,4.5,1.2,11.9
