Restaurant ID,Restaurant Name,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Votes
53,Amber,New Delhi,Connaught Place,77.2208907,28.6301966,"North Indian, Chinese, Mughlai",1800,Yes,Yes,3,2.6,152
55,Berco's,New Delhi,Connaught Place,77.2172977,28.6324521,"Chinese, Thai",1100,Yes,Yes,3,3.9,2639
60,Colonel's Kababz,New Delhi,Defence Colony,77.2305911,28.5740362,"North Indian, Mughlai",900,Yes,No,2,3.2,600
64,Diva - The Italian Restaurant,New Delhi,Greater Kailash (GK) 2,77.2431861,28.5342023,Italian,2500,Yes,Yes,4,3.8,372
65,Drums of Heaven,New Delhi,Green Park,77.2059342,28.5580181,"Chinese, Seafood, Thai",1800,Yes,Yes,3,3.5,234
66,Embassy,New Delhi,Connaught Place,77.2210029,28.6336789,"North Indian, Continental, European",2000,Yes,Yes,4,3.5,706
67,Fa Yian,New Delhi,Connaught Place,77.2172977,28.6328105,Chinese,1200,Yes,No,3,4,412
69,Chungwa,New Delhi,Greater Kailash (GK) 2,77.2431379,28.5339137,"Chinese, Thai, Seafood",1100,Yes,Yes,3,3.3,489
73,Ichiban,New Delhi,Pandara Road Market,77.2297892,28.6080707,"Chinese, Thai, Japanese",1200,Yes,Yes,3,3.9,768
89,Naivedyam,New Delhi,Hauz Khas Village,77.1952749,28.555157,South Indian,500,No,Yes,2,4.2,1627
93,Princess Garden,New Delhi,South Extension 2,77.2192289,28.5684277,"Chinese, North Indian",1200,Yes,No,3,2.7,31
103,Veg Gulati,New Delhi,Pandara Road Market,77.2298055,28.6080723,North Indian,1200,No,Yes,3,3.8,600
104,Woks - The Lalit New Delhi,New Delhi,"The Lalit New Delhi, Barakhamba Road",77.227277,28.631407,"Chinese, Seafood",4500,Yes,No,4,3.6,62
112,Lotus Pond,New Delhi,New Friends Colony,77.27047574,28.56164062,"Chinese, Seafood, Asian",1800,Yes,Yes,3,4.2,391
131,Chopsticks,New Delhi,"The Village Restaurant Complex, Khel Gaon Marg",77.2133902,28.5525438,"Chinese, Thai",1700,Yes,Yes,3,3.6,350
134,Moti Mahal Delux,New Delhi,Defence Colony,77.2301869,28.5735944,"North Indian, Mughlai, Chinese",1000,Yes,Yes,3,3.8,130
143,Domino's Pizza,New Delhi,Connaught Place,77.2228959,28.6332312,"Pizza, Fast Food",700,No,No,2,3.7,336
147,Subway,New Delhi,Greater Kailash (GK) 1,77.234992,28.5505215,"American, Fast Food, Salad, Healthy Food",500,No,Yes,2,2.5,115
148,Subway,New Delhi,Nehru Place,77.251157,28.5501754,"American, Fast Food, Salad, Healthy Food",500,No,No,2,3.6,142
