Sl. No.,Name of state,Year,Name of Fairs & Festivals,Amount sanctioned,Amount released
1,Assam,2021-22,Bhogali Festival,25,25
2,Assam,2021-22,Rongoli festivals,25,25
3,Arunachal Pradesh,2019-20,River Tribes Angling Festival,25,25
4,Arunachal Pradesh,2019-20,Butterfly Meet at MIAO,25,25
5,Arunachal Pradesh,2020-21,Pedal to Pakke,25,25
6,Arunachal Pradesh,2021-22,Easterly Essence Ledum Festival,25,25
7,Arunachal Pradesh,2021-22,Orange Festival of Music and Adventure,25,25
8,Arunachal Pradesh,2022-23,Si Donyi Festival,25,25
9,Arunachal Pradesh,2022-23,Orange Festival,25,25
10,Manipur,2019-20,Sangai Festival,25,25
11,Manipur,2019-20,Youth Adventure and Water Sports festival,25,25
12,Meghalaya,2019-20,Wangala Dance,25,25
13,Meghalaya,2019-20,Nongkrem Dance Festival,25,25
14,Meghalaya,2021-22,Wangala Dance,25,25
15,Meghalaya,2021-22,Nongkrem Dance Festival,25,25
16,Meghalaya,2022-23,Wangala Dance,25,25
17,Meghalaya,2022-23,Nongkrem Dance Festival,25,25
18,Mizoram,2019-20,Anthurium Festival,25,25
19,Mizoram,2019-20,Winter Festival,25,25
20,Mizoram,2020-21,Anthurium Festival,25,25
21,Mizoram,2020-21,Winter Festival,25,25
22,Mizoram,2021-22,Anthurium Festival,25,25
23,Mizoram,2021-22,Winter Festival,25,25
24,Mizoram,2022-23,Anthurium Festival,25,25
25,Mizoram,2022-23,Winter Festival,25,25
26,Nagaland,2019-20,Hornbill Festival,25,25
27,Nagaland,2019-20,Thuwu-Ni Festival,10,10
28,Nagaland,2019-20,Sukhrunye Festival,15,15
29,Nagaland,2021-22,Hornbill Festival,20,20
30,Nagaland,2021-22,The Angamis Sekrenyi Festival,10,10
31,Nagaland,2022-23,Ahuna Festival,5,5
32,Nagaland,2022-23,Runa Festival,5,5
33,Nagaland,2022-23,Sekrenyi Festival,5,5
34,Nagaland,2022-23,Autumn Festival at Nagaland House Kolkata,5,5
35,Nagaland,2022-23,Autumn Festival at Nagaland House New Delhi,5,5
36,Nagaland,2022-23,Hornbill Festival,25,25
37,Sikkim,2019-20,"World Tourism Day, Gangtok",25,25
38,Sikkim,2019-20,Red Panda Winter Festival,25,25
39,Sikkim,2020-21,Red Panda Winter Carnival,25,25
40,Sikkim,2020-21,Jorethang Maghey Mela,12.5,12.5
41,Sikkim,2020-21,Pelling Winter Tourism Festival,12.5,12.5
42,Sikkim,2021-22,Cherry Temi Tea and Tourism Festival Temi Tea Gardens South Sikkim,12.5,12.5
43,Sikkim,2021-22,Khangchendzonga Winter Carnival Festival,12.5,12.5
44,Sikkim,2021-22,Jorethang Maghey Mela,25,25
45,Tripura,2019-20,Kharchi Mela,25,25
46,Tripura,2019-20,Neermahal Festival,2,2
47,Tripura,2019-20,Diwali Mela,15,15
48,Tripura,2020-21,Bharat Bangla Festival,25,25
49,Tripura,2022-23,Neermahal Festival,10,10
50,Tripura,2022-23,Diwali Festival,5,5
51,Tripura,2022-23,Chabimura Festival,5,5
