Month,FEE from tourism (In Rs. Crore) - 2019,FEE from tourism (In Rs. Crore) - 2020,FEE from tourism (In Rs. Crore) - 2021,Percentage Change - 2020/2019,Percentage Change - 2021/2020
January,18205,20200,4700,11,-76.7
February,17959,18241,5477,1.6,-70
March,16214,5830,6642,-64,13.9
April,17134,71,6891,-99.6,9605.6
May,13642,94,1730,-99.3,1740.4
June,16083,208,3157,-98.7,1417.8
July,18205,307,4105,-98.3,1237.1
August,17867,479,5251,-97.3,996.2
September,16824,686,6549,-95.9,854.7
October,17057,831,5094,-95.1,513
November,19840,1413,7022,-92.9,397
December,22631,1776,8452,-92.2,375.9
