Month,Year,Foreign_Tourist_Arrivals,Growth_2020_2019,Growth_2021_2020,Share_2021
January,2019,1111040,0.7,-91.5,6.2
January,2020,1119250,0.7,-91.5,6.2
January,2021,94662,0.7,-91.5,6.2
February,2019,1090516,-6.6,-89.2,7.22
February,2020,1018440,-6.6,-89.2,7.22
February,2021,110312,-6.6,-89.2,7.22
March,2019,978236,-66.4,-59.3,8.76
March,2020,328304,-66.4,-59.3,8.76
March,2021,133768,-66.4,-59.3,8.76
April,2019,774651,-99.6,2691.4,5.15
April,2020,2820,-99.6,2691.4,5.15
April,2021,78718,-99.6,2691.4,5.15
May,2019,615136,-99.4,425.1,1.29
May,2020,3764,-99.4,425.1,1.29
May,2021,19765,-99.4,425.1,1.29
June,2019,726446,-98.8,319.9,2.36
June,2020,8590,-98.8,319.9,2.36
June,2021,36070,-98.8,319.9,2.36
July,2019,818125,-98.5,472.9,4.75
July,2020,12655,-98.5,472.9,4.75
July,2021,72501,-98.5,472.9,4.75
August,2019,800837,-97.5,369.2,6.07
August,2020,19761,-97.5,369.2,6.07
August,2021,92728,-97.5,369.2,6.07
September,2019,751513,-96.3,310.6,7.57
September,2020,28167,-96.3,310.6,7.57
September,2021,115661,-96.3,310.6,7.57
October,2019,945017,-95.6,361.3,12.53
October,2020,41494,-95.6,361.3,12.53
October,2021,191415,-95.6,361.3,12.53
November,2019,1092440,-93.5,271.8,17.28
November,2020,70977,-93.5,271.8,17.28
November,2021,263867,-93.5,271.8,17.28
December,2019,1226398,-92.6,250.8,20.8
December,2020,90544,-92.6,250.8,20.8
December,2021,317647,-92.6,250.8,20.8
