location_name,time_id,year,month,tourism_revenue_crore_inr,foreign_tourist_arrivals,temp_c,rainfall_mm,humidity_pct
Agartala,244,2020,April,71,2820,26.52,185.1,76.13333333
Agartala,246,2020,June,208,8590,27.59666667,398,87.7
Agartala,231,2019,March,16214,978236,24.10645161,56.4,69.29032258
Agartala,235,2019,July,18205,818125,27.79677419,288.3,86
Agartala,253,2021,January,4700,94662,18.21612903,1.8,73.90322581
Agartala,242,2020,February,18241,1018440,19.49310345,4.1,68.86206897
Agartala,254,2021,February,5477,110312,20.56785714,0.8,67.75
Agartala,261,2021,September,6549,115661,27.96666667,220.5,85.1
Agartala,264,2021,December,8452,317647,19.1,120.5,79.38709677
Agartala,256,2021,April,6891,78718,28.73,37.2,65.1
Agartala,229,2019,January,18205,1111040,17.90967742,0.2,70.96774194
Agartala,233,2019,May,13642,615136,28.94193548,142.1,78.90322581
Agartala,252,2020,December,1776,90544,18.47096774,0,78.4516129
Agartala,262,2021,October,5094,191415,27.17419355,190.1,83.12903226
Agartala,258,2021,June,3157,36070,27.26,337.5,87.5
Agartala,263,2021,November,7022,263867,22.49666667,22.4,73.56666667
Agartala,241,2020,January,20200,1119250,17.33548387,24.9,80.58064516
Agartala,259,2021,July,4105,72501,27.66774194,251.8,86.87096774
Agartala,238,2019,October,17057,945017,25.9516129,155.1,86.06451613
Agartala,230,2019,February,17959,1090516,20.52857143,57.2,68.46428571
Agartala,243,2020,March,5830,328304,24.52903226,14,60.96774194
Agartala,260,2021,August,5251,92728,27.41935484,233.3,88.19354839
Agartala,234,2019,June,16083,726446,28.41,223.1,84.63333333
Agartala,239,2019,November,19840,1092440,22.86333333,63.6,82.16666667
Agartala,247,2020,July,307,12655,27.65806452,275.4,88.25806452
Agartala,240,2019,December,22631,1226398,18.29032258,5.6,78.67741935
Agartala,236,2019,August,17867,800837,28.16451613,165.4,85.06451613
Agartala,245,2020,May,94,3764,27.52258065,193.3,81.38709677
Agartala,232,2019,April,17134,774651,26.62666667,116.9,77.53333333
Agartala,250,2020,October,831,41494,27.50322581,211,86.03225806
Agartala,249,2020,September,686,28167,27.9,246,87
Agartala,237,2019,September,16824,751513,27.57666667,209.3,85.86666667
Agartala,257,2021,May,1730,19765,28.58064516,147.5,76.38709677
Agartala,255,2021,March,6642,133768,26.32580645,17.7,62.32258065
Agartala,251,2020,November,1413,70977,22.63333333,18.1,80.13333333
Agartala,248,2020,August,479,19761,28,224.4,85.48387097
Aizawl,260,2021,August,5251,92728,20.96451613,189.8,90.77419355
Aizawl,259,2021,July,4105,72501,21.4483871,418.5,89.64516129
Aizawl,229,2019,January,18205,1111040,11.26774194,0.9,71.03225806
Aizawl,262,2021,October,5094,191415,20.67741935,113.6,85.67741935
Aizawl,234,2019,June,16083,726446,21.91,263.2,86.5
Aizawl,237,2019,September,16824,751513,20.82666667,238,91.66666667
Aizawl,258,2021,June,3157,36070,21.31666667,281.3,87.46666667
Aizawl,239,2019,November,19840,1092440,16.70666667,45.5,80.63333333
Aizawl,250,2020,October,831,41494,20.90322581,194,89.87096774
Aizawl,243,2020,March,5830,328304,17.41935484,5.4,62.25806452
Aizawl,254,2021,February,5477,110312,13.98214286,0.6,62.89285714
Aizawl,246,2020,June,208,8590,21.45,222.2,87.13333333
Aizawl,245,2020,May,94,3764,21.13548387,137.8,77.12903226
Aizawl,263,2021,November,7022,263867,16.89,49.7,77.26666667
Aizawl,238,2019,October,17057,945017,19.48064516,102.5,89.03225806
Aizawl,236,2019,August,17867,800837,21.59677419,301.8,90.64516129
Aizawl,256,2021,April,6891,78718,21.69666667,28,58.46666667
Aizawl,231,2019,March,16214,978236,16.10322581,35.6,72.03225806
Aizawl,241,2020,January,20200,1119250,11.30967742,48,79.4516129
Aizawl,240,2019,December,22631,1226398,12.14193548,8.2,74.51612903
Aizawl,255,2021,March,6642,133768,19.22258065,9.2,54.06451613
Aizawl,249,2020,September,686,28167,21.27666667,180,89.9
Aizawl,261,2021,September,6549,115661,21.44,162.4,89.8
Aizawl,264,2021,December,8452,317647,13.11290323,55.9,78.61290323
Aizawl,235,2019,July,18205,818125,21.28709677,320.7,88.96774194
Aizawl,242,2020,February,18241,1018440,12.86896552,7.8,68.17241379
Aizawl,248,2020,August,479,19761,21.56451613,206.5,89.25806452
Aizawl,233,2019,May,13642,615136,22.37096774,70.4,76.90322581
Aizawl,244,2020,April,71,2820,19.89333333,84.1,67.9
Aizawl,251,2020,November,1413,70977,16.76,20.9,78.13333333
Aizawl,253,2021,January,4700,94662,12.5,1.3,66.80645161
Aizawl,247,2020,July,307,12655,21.27419355,182.1,89.22580645
Aizawl,230,2019,February,17959,1090516,13.67142857,53.8,69
Aizawl,252,2020,December,1776,90544,12.67419355,0,67.22580645
Aizawl,232,2019,April,17134,774651,20.12666667,27.8,73.3
Aizawl,257,2021,May,1730,19765,21.91935484,89.1,76.74193548
Amaravati,248,2020,August,479,19761,28.07741935,245,80.90322581
Amaravati,256,2021,April,6891,78718,31.39666667,13.6,63.26666667
Amaravati,243,2020,March,5830,328304,29.04193548,7.8,63.61290323
Amaravati,234,2019,June,16083,726446,33.64,57.2,57.06666667
Amaravati,251,2020,November,1413,70977,25.63,128.3,79.63333333
Amaravati,238,2019,October,17057,945017,26.79354839,301.9,87.61290323
Amaravati,261,2021,September,6549,115661,28.25,183.2,79.06666667
Amaravati,255,2021,March,6642,133768,29.10645161,0.1,62.67741935
Amaravati,240,2019,December,22631,1226398,25.25806452,6.5,71.74193548
Amaravati,230,2019,February,17959,1090516,27.37142857,5.1,64.07142857
Amaravati,239,2019,November,19840,1092440,26.85,12.4,76
Amaravati,236,2019,August,17867,800837,28.97419355,163.6,75.03225806
Amaravati,260,2021,August,5251,92728,29.10645161,158.3,74.90322581
Amaravati,264,2021,December,8452,317647,24.28064516,6.7,71.93548387
Amaravati,257,2021,May,1730,19765,32.48064516,53.7,59.29032258
Amaravati,233,2019,May,13642,615136,34.5,10.6,55.25806452
Amaravati,249,2020,September,686,28167,28.01666667,397.4,83.93333333
Amaravati,259,2021,July,4105,72501,28.77419355,311.2,76.12903226
